epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.942,1.86694,3.61094,1.83635,0.00331,0.95,0.312,0.18818,1.38522,4.19724,1.46728,0.00020004,0.00020004,0.00020004
2,35.6316,1.73063,3.06141,1.7607,0.00323,0.9,0.3803,0.16546,1.32919,3.94021,1.51192,0.000402997,0.000402997,0.000402997
3,53.4693,1.49249,2.76019,1.61095,0.00331,0.95,0.26437,0.08796,1.58542,3.87086,1.63477,0.000591652,0.000591652,0.000591652
4,70.7188,1.55899,2.61268,1.61732,0.9141,0.1,0.33429,0.14446,1.70699,3.86871,1.70698,0.000766003,0.000766003,0.000766003
5,87.7922,1.47622,2.59849,1.59513,0.91646,0.33882,0.4498,0.17269,1.91527,3.76709,2.10632,0.000926052,0.000926052,0.000926052
6,105.143,1.51312,2.56057,1.62221,0.47943,0.36667,0.48683,0.20028,1.7965,3.60025,1.96441,0.0010718,0.0010718,0.0010718
7,122.567,1.56922,2.43895,1.59479,0.50128,0.61467,0.5584,0.20958,1.79867,3.67959,1.99587,0.00120324,0.00120324,0.00120324
8,139.103,1.64906,2.55882,1.645,0.44762,0.51667,0.51578,0.20107,2.06422,3.61703,2.19926,0.00128192,0.00128192,0.00128192
9,155.576,1.54035,2.26721,1.57237,0.46053,0.31667,0.37126,0.15948,2.12474,3.51546,2.29406,0.00122691,0.00122691,0.00122691
10,171.674,1.55722,2.41968,1.59544,0.49924,0.48588,0.5175,0.24335,2.02634,3.54725,2.17017,0.0011719,0.0011719,0.0011719
11,188.098,1.4096,2.1031,1.45326,0.58416,0.71667,0.71353,0.34478,1.7418,3.52143,1.87872,0.00111689,0.00111689,0.00111689
12,204.68,1.46659,2.21295,1.4854,0.63656,0.6928,0.5769,0.28724,1.85691,3.68083,1.96361,0.00106188,0.00106188,0.00106188
13,220.789,1.40189,2.0961,1.4538,0.6492,0.56106,0.5767,0.27139,1.8613,3.81232,2.02919,0.00100687,0.00100687,0.00100687
14,236.98,1.35169,2.0383,1.41118,0.89877,0.47104,0.69476,0.36918,1.81935,3.07061,1.89923,0.000951857,0.000951857,0.000951857
15,253.61,1.40752,2.00298,1.46825,0.85726,0.52413,0.66562,0.30894,1.81442,2.64656,1.9236,0.000896846,0.000896846,0.000896846
16,270.261,1.36149,2.01945,1.43652,0.95774,0.43922,0.5692,0.25324,1.82327,2.75046,2.01975,0.000841835,0.000841835,0.000841835
17,286.8,1.3872,1.91391,1.44173,0.84567,0.68333,0.6948,0.36285,1.69755,2.6061,1.7921,0.000786824,0.000786824,0.000786824
18,302.829,1.24469,1.8937,1.36385,0.81336,0.68333,0.7257,0.40954,1.5733,2.5379,1.73685,0.000731813,0.000731813,0.000731813
19,319.853,1.359,1.90633,1.4155,0.92076,0.71667,0.76234,0.34203,1.93709,2.6857,2.05802,0.000676802,0.000676802,0.000676802
20,335.823,1.29177,1.75345,1.36259,0.96483,0.63333,0.70243,0.3693,1.67824,2.37309,1.82975,0.000621791,0.000621791,0.000621791
21,351.668,1.20903,2.12292,1.41989,0.80821,0.62452,0.68145,0.38508,1.55877,2.39742,1.69686,0.00056678,0.00056678,0.00056678
22,367.732,1.10845,2.03234,1.3621,0.94024,0.62199,0.72947,0.43386,1.63245,2.46002,1.72186,0.000511769,0.000511769,0.000511769
23,383.997,1.04242,1.94611,1.22314,0.76498,0.71667,0.74799,0.38754,1.62877,2.32986,1.75665,0.000456758,0.000456758,0.000456758
24,399.782,1.13032,1.99148,1.31958,0.72056,0.71667,0.74928,0.43341,1.54311,2.28104,1.72459,0.000401747,0.000401747,0.000401747
25,415.789,1.03502,1.86629,1.25887,0.84933,0.70403,0.78279,0.45529,1.53073,2.22711,1.68472,0.000346736,0.000346736,0.000346736
26,432.08,1.04238,1.80206,1.23269,0.81057,0.75002,0.77641,0.4741,1.52533,2.26422,1.65765,0.000291725,0.000291725,0.000291725
27,448.58,1.02179,1.7045,1.20915,0.95856,0.70582,0.79337,0.49298,1.48136,2.23419,1.60182,0.000236714,0.000236714,0.000236714
28,464.999,1.06082,1.65043,1.22246,0.98463,0.71667,0.80009,0.48727,1.61849,2.15282,1.69226,0.000181703,0.000181703,0.000181703
29,480.659,0.96578,1.65742,1.2263,0.98395,0.71667,0.80341,0.47311,1.66757,2.07195,1.76483,0.000126692,0.000126692,0.000126692
30,496.531,0.9944,1.56847,1.21656,0.98604,0.71667,0.80293,0.45438,1.64205,2.0859,1.76839,7.1681e-05,7.1681e-05,7.1681e-05
